# Døgn-verdier for stasjon Bulken (Vangsvatnet), fra 2018.11.9 til 2018.9.11
# Dato              Vannstand          Vannføring                 75p              median                 25p
11092018               1.7705            186.1244              87.999              48.721              26.566
12092018               2.7034            288.1534              96.158              48.961              25.687
13092018               3.1211            335.3013             101.853              50.090              24.708
14092018               3.1829            342.3569             103.798              50.019              23.547
15092018               3.1459            338.1367             106.052              49.866              22.447
16092018               2.4483            259.8688             113.321              53.413              21.875
17092018               2.0864            220.4581             123.205              56.713              21.501
18092018               2.1872            231.3424             131.575              60.818              21.863
19092018               2.2410            237.1843             137.748              66.662              22.529
20092018               2.6989            287.6509             144.369              71.079              23.826
21092018               2.7597            294.4462             145.223              73.912              25.087
22092018               2.6288            279.8461             145.851              74.380              26.328
23092018               2.4678            262.0108             150.944              73.651              27.073
24092018               1.6972            173.2422             154.643              74.916              27.897
25092018               1.2258            100.7989             153.302              76.720              29.377
26092018               2.6318            280.1788             145.888              74.704              31.352
27092018               3.1123            334.2971             137.961              71.938              32.651
28092018               2.3450            248.5306             130.724              69.787              33.374
29092018               1.6978            173.3469             127.266              65.495              33.318
30092018               2.3204            245.8427             124.805              62.744              32.688
01102018               1.8432            194.5063             127.150              64.275              32.138
02102018               1.3532            118.5865             128.900              64.974              32.211
03102018               1.1120             86.0353             126.168              68.659              33.365
04102018               1.0296             76.0322             126.925              70.781              34.512
05102018               1.9462            205.4441             129.624              72.119              35.641
06102018               1.7802            187.8583             132.974              73.538              36.417
07102018               1.3704            121.0938             135.063              75.780              37.072
08102018               1.1956             96.7775             138.705              75.265              37.052
09102018               2.3333            247.2475             140.663              74.746              36.991
10102018               4.3741            482.0144             137.232              74.512              36.701
11102018               3.2443            349.3927             129.160              70.821              36.260
12102018               2.0087            212.1250             120.326              68.855              35.017
13102018               2.7076            288.6229             115.455              64.818              33.280
14102018               4.9254            548.7163             109.625              61.604              32.209
15102018               4.9772            555.0430             106.764              58.918              31.194
16102018               3.0025            321.8142             104.566              57.199              29.226
17102018               1.7046            174.5210             100.942              53.945              27.554
18102018               1.3185            113.6094              95.661              52.671              26.340
19102018               1.1068             85.3824              91.868              51.504              25.358
20102018               0.9646             68.5377              89.821              49.189              24.727
21102018               1.2094             98.5947              86.977              47.062              24.064
22102018               1.8415            194.3271              83.846              45.294              23.690
23102018               2.1316            225.3326              80.424              43.559              23.848
24102018               1.6609            167.0265              81.032              43.881              23.848
25102018               1.2826            108.5681              82.949              45.326              23.029
26102018               1.0715             81.0487              85.973              45.686              22.348
27102018               0.8775             59.0746              93.146              46.685              21.956
28102018               0.7163             43.2864             100.208              47.490              22.201
29102018               0.5927             32.7329             103.276              48.169              22.977
30102018               0.5050             26.0722             107.195              48.812              23.611
31102018               0.4617             23.0525             109.903              49.855              24.054
01112018               0.4581             22.8025             114.726              50.856              24.444
02112018               0.6717             39.3185             119.468              52.707              24.453
03112018               0.8117             52.3507             119.205              52.170              24.330
04112018               0.8441             55.6175             114.977              49.569              24.339
05112018               0.8342             54.6083             109.342              47.096              25.045
06112018               0.7388             45.3499              99.730              45.287              25.206
07112018               0.6630             38.5645              91.049              43.259              24.760
08112018               0.7178             43.4216              85.192              41.149              23.933
09112018                 ----                ----              78.028              39.241              23.142
