DØGNVERDIER

Stasjoner
  Stnr Navn   I drift fra I drift til Hoh Breddegrad Lengdegrad Kommune Fylke     Region                                                                           
 51470 BULKEN jan 1895                328    60.6455     6.2220 Voss    Hordaland VESTLANDET                                                          


Elementer
 Kode Navn       Enhet             
 RR   Nedbør     mm             
 SA   Snødybde   cm               
 SD   Snødekke   kode               
 SLAG Nedbørslag kode                   



****************** MELDING *****************
Dataverdi merket x betyr manglende tilgang eller at kvaliteten er 'Svært usikker, modelldata' (Nivå 6 eller mer).
********************************************

    Stnr       Dato         RR         SA SD SLAG                  
   51470 01.08.2018       36.7          0  -    -                      
   51470 02.08.2018        1.2          0  -    -                     
   51470 03.08.2018        0.7          0  -    -                     
   51470 04.08.2018       11.5          0  -    -                      
   51470 05.08.2018        3.5          0  -    -                     
   51470 06.08.2018        1.5          0  -    -                     
   51470 07.08.2018        4.4          0  -    -                     
   51470 08.08.2018        0.5          0  -    -                     
   51470 09.08.2018        7.3          0  -    -                     
   51470 10.08.2018       12.6          -  -    -                      
   51470 11.08.2018       18.4          -  -    -                      
   51470 12.08.2018        0.0          -  -    -                     
   51470 13.08.2018        0.0          0  -    -                     
   51470 14.08.2018        0.0          0  -    -                     
   51470 15.08.2018        0.8          0  -    -                     
   51470 16.08.2018       19.6          0  -    -                      
   51470 17.08.2018       25.8          0  -    -                      
   51470 18.08.2018        9.4          0  -    -                     
   51470 19.08.2018       15.1          0  -    -                      
   51470 20.08.2018        0.0          0  -    -                     
   51470 21.08.2018        1.2          0  -    -                     
   51470 22.08.2018        1.6          0  -    -                     
   51470 23.08.2018       29.7          0  -    -                      
   51470 24.08.2018        3.1          0  -    -                     
   51470 25.08.2018        9.6          0  -    -                     
   51470 26.08.2018        0.6          0  -    -                     
   51470 27.08.2018        0.2          0  -    -                     
   51470 28.08.2018        0.9          0  -    -                     
   51470 29.08.2018        0.6          0  -    -                     
   51470 30.08.2018       12.4          0  -    -                      
   51470 31.08.2018        0.3          0  -    -                     
   51470 01.09.2018        0.0          0  -    -                     
   51470 02.09.2018        0.0          0  -    -                     
   51470 03.09.2018        0.0          0  -    -                     
   51470 04.09.2018        0.0          0  -    -                     
   51470 05.09.2018        0.1          0  -    -                     
   51470 06.09.2018        0.0          0  -    -                     
   51470 07.09.2018        5.5          0  -    -                     
   51470 08.09.2018        0.1          0  -    -                     
   51470 09.09.2018        0.8          0  -    -                     
   51470 10.09.2018       12.9          0  -    -                      
   51470 11.09.2018       42.2          0  -    -                      
   51470 12.09.2018       19.8          0  -    -                      
   51470 13.09.2018       25.4          0  -    -                      
   51470 14.09.2018       19.2          0  -    -                      
   51470 15.09.2018       23.1          0  -    -                      
   51470 16.09.2018       19.8          0  -    -                      
   51470 17.09.2018       14.5          0  -    -                      
   51470 18.09.2018       24.9          0  -    -                      
   51470 19.09.2018        2.9          0  -    -                     
   51470 20.09.2018       21.4          0  -    -                      
   51470 21.09.2018       16.6          0  -    -                      
   51470 22.09.2018       34.3          0  -    -                      
   51470 23.09.2018       26.6          0  -    -                      
   51470 24.09.2018        6.6          0  -    -                     
   51470 25.09.2018        1.2          0  -    -                     
   51470 26.09.2018       44.4          0  -    -                      
   51470 27.09.2018       22.5          0  -    -                      
   51470 28.09.2018       22.5          0  -    -                      
   51470 29.09.2018        7.9          0  -    -                     
   51470 30.09.2018       28.4          0  -    -                      
   51470 01.10.2018       15.2          0  -    -                      
   51470 02.10.2018        3.9          0  -    -                     
   51470 03.10.2018       10.6          0  -    -                      
   51470 04.10.2018        2.4          0  -    -                     
   51470 05.10.2018       24.4          0  -    -                      
   51470 06.10.2018       11.9          0  -    -                      
   51470 07.10.2018        0.7          0  -    -                     
   51470 08.10.2018        9.9          0  -    -                     
   51470 09.10.2018       22.4          0  -    -                      
   51470 10.10.2018       29.2          0  -    -                      
   51470 11.10.2018        0.0          0  -    -                     
   51470 12.10.2018        0.3          0  -    -                     
   51470 13.10.2018       47.5          0  -    -                      
   51470 14.10.2018       69.4          0  -    -                      
   51470 15.10.2018       24.4          0  -    -                      
   51470 16.10.2018        0.0          0  -    -                     
   51470 17.10.2018        4.4          0  -    -                     
   51470 18.10.2018        3.9          0  -    -                     
   51470 19.10.2018        1.5          0  -    -                     
   51470 20.10.2018        5.1          0  -    -                     
   51470 21.10.2018        9.8          0  -    -                     
   51470 22.10.2018       35.2          0  -    -                      
   51470 23.10.2018       52.5          0  -    -                      
   51470 24.10.2018        4.6          0  -    -                     
   51470 25.10.2018       10.5          0  -    -                      
   51470 26.10.2018        0.6          0  -    -                     
   51470 27.10.2018        0.0          0  -    -                     
   51470 28.10.2018        0.0          0  -    -                     
   51470 29.10.2018        0.0          0  -    -                     
   51470 30.10.2018        0.0          0  -    -                     
   51470 31.10.2018        1.6          0  -    -                     
   51470 01.11.2018        0.5          0  -    -                     
   51470 02.11.2018       11.9          0  -    -                      
   51470 03.11.2018        3.6          0  -    -                     
   51470 04.11.2018        2.5          0  -    -                     
   51470 05.11.2018        0.0          0  -    -                     
   51470 06.11.2018        0.0          0  -    -                     
   51470 07.11.2018        0.0          0  -    -                     
   51470 08.11.2018        0.0          0  -    -                     
  Antall          -        100         97  -    -              
 Laveste          -        0.0          0  -    -              
    Dato          - 12.08.2018 01.08.2018  -    -                           
 Høyeste          -       69.4          0  -    -               
    Dato          - 14.10.2018 01.08.2018  -    -                           
     Sum          -     1093.2          -  -    -             
  Middel          -          -        0.0  -    -             



--------------------------------------------
Data er gyldig per 09.11.2018  (CC BY 3.0), Meteorologisk institutt (MET)
